"죄종별(1)",죄종별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"지능범죄",횡령,50421,13188,3426,2288,3651,1496,1215,732,187,1391,44,362,300,220,260,622,520,80,1105,923,1262,477,720,207,683,195,87,211,696,65,754,164,454,542,110,412,556,180,34,39,64,180,156,16,66,639,143,13,65,81,100,73,124,229,611,180,22,42,187,438,55,89,83,277,208,277,204,221,246,65,18,42,86,30,50,254,165,404,32,68,221,163,706,77,242,605,496,1750
"지능범죄",배임,3466,713,235,109,155,64,104,344,25,59,4,12,23,5,9,19,30,16,31,48,65,30,45,17,20,13,4,4,72,7,16,9,19,52,15,10,43,13,2,2,9,24,11,2,5,28,7,-,9,7,11,4,13,18,53,7,2,1,16,39,3,22,9,27,12,16,11,12,12,11,5,1,13,2,5,12,18,35,2,13,14,21,63,4,8,43,86,257
"풍속범죄",소계,23360,5065,1628,871,1496,494,681,537,95,328,23,145,113,81,116,131,209,135,394,466,1915,244,428,50,382,68,34,107,279,37,291,82,110,194,41,97,272,46,24,19,37,104,185,22,36,316,76,3,28,20,48,35,43,100,268,100,28,17,97,237,29,57,30,179,93,99,89,58,133,32,6,15,86,31,23,145,65,171,23,20,96,103,329,43,72,246,605,954
"풍속범죄",성풍속범죄,16969,4180,1135,697,1227,387,542,340,81,276,20,128,86,66,107,111,179,34,327,337,570,206,380,33,222,52,23,91,245,24,215,67,93,157,30,79,216,38,9,16,18,77,55,12,26,223,56,3,21,17,35,24,34,79,216,77,16,8,69,195,17,40,22,105,67,66,74,39,113,19,6,9,54,20,15,112,46,147,18,18,83,83,260,24,45,195,416,569
"풍속범죄",도박범죄,6391,885,493,174,269,107,139,197,14,52,3,17,27,15,9,20,30,101,67,129,1345,38,48,17,160,16,11,16,34,13,76,15,17,37,11,18,56,8,15,3,19,27,130,10,10,93,20,-,7,3,13,11,9,21,52,23,12,9,28,42,12,17,8,74,26,33,15,19,20,13,-,6,32,11,8,33,19,24,5,2,13,20,69,19,27,51,189,385
"특별경제범죄",소계,40708,8877,3193,1762,2511,1047,1124,787,128,764,19,203,266,142,197,333,373,76,803,819,916,483,658,118,435,171,56,169,519,81,353,137,320,494,112,181,641,130,52,43,96,320,232,33,59,524,130,9,53,52,89,89,109,257,413,499,32,40,169,314,40,60,63,224,166,215,157,165,300,98,28,25,102,51,44,335,200,473,54,76,233,227,758,70,167,564,1083,1718
"마약범죄",소계,8088,2275,585,258,610,156,96,68,40,93,2,25,42,18,20,84,41,28,140,109,194,111,102,39,59,38,52,45,74,9,93,49,30,159,57,19,112,17,7,-,1,40,29,6,17,90,29,3,15,21,33,29,18,44,93,16,9,5,24,23,8,12,18,32,23,33,21,45,142,16,14,21,34,11,11,31,19,152,18,19,47,36,137,18,7,28,70,564
"보건범죄",소계,16936,4573,2214,762,959,312,251,252,56,294,2,71,113,74,48,85,116,23,327,390,377,177,316,116,179,57,14,43,175,17,84,45,57,139,16,70,163,50,14,11,46,110,60,10,44,148,22,2,17,19,35,112,56,96,153,178,3,8,46,123,19,38,20,108,60,81,42,36,56,36,3,20,19,16,23,107,95,184,33,16,120,108,241,55,29,145,78,818
"환경범죄",소계,3656,30,312,10,90,5,17,30,3,35,-,4,53,8,-,6,57,6,7,8,16,122,42,4,1,80,7,11,133,2,9,45,111,108,90,32,286,9,7,7,14,14,9,2,-,2,4,-,4,-,128,8,15,4,45,4,1,3,9,21,1,6,13,18,6,29,-,68,18,19,1,10,16,1,1,52,19,241,52,25,14,35,98,36,9,11,31,736
"교통범죄",소계,308634,43206,16160,16619,14459,11121,8963,7570,1220,5229,265,1377,3202,1463,900,3335,3402,499,5423,5434,7580,4597,5930,1752,2214,1395,926,1677,5453,808,2285,1797,2963,5715,1355,1600,5195,1369,523,417,684,2630,1810,259,897,5871,1558,96,766,567,1383,704,1172,2109,4929,1715,439,426,1554,3608,519,1043,692,2018,2037,2378,1470,1771,2999,872,395,649,1001,627,944,3500,1467,3444,728,821,2280,1551,4945,1019,1916,4266,204,24503
"노동범죄",소계,406,78,12,22,9,6,12,2,2,3,-,-,2,-,2,1,1,-,6,4,4,13,6,-,-,2,9,-,1,1,3,2,4,1,-,2,6,3,-,-,-,1,1,-,-,4,-,-,-,5,3,-,1,1,5,2,1,-,-,1,-,-,-,5,6,3,3,5,1,1,-,-,1,-,1,6,2,6,1,2,2,2,22,1,10,44,3,35
"안보범죄",소계,206,98,5,4,11,3,4,5,-,1,-,-,5,1,-,-,-,-,1,1,3,3,1,2,1,-,-,1,1,-,3,-,3,-,-,1,3,-,-,-,-,-,4,-,-,-,3,-,3,-,-,1,-,-,3,-,-,1,1,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,1,4,-,-,-,-,-,-,-,1,6,14
"선거범죄",소계,274,129,31,4,2,3,2,6,1,1,5,-,1,1,-,-,3,-,1,7,3,-,-,-,-,-,3,-,-,-,-,1,-,-,-,-,1,2,-,-,1,1,1,-,1,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,3,9,2,-,-,2,-,1,1,-,-,-,-,-,1,-,-,1,-,1,-,1,1,9,28
"병역범죄",소계,1823,308,86,90,166,56,44,26,7,34,-,10,7,8,5,7,22,1,24,28,54,15,29,5,13,3,5,10,28,5,19,10,13,30,6,6,15,11,4,-,1,15,8,-,6,36,5,-,2,15,10,1,5,8,27,10,2,2,10,13,3,3,3,16,7,12,13,10,28,3,2,3,3,5,1,9,10,17,4,8,11,9,40,8,9,18,68,114
"기타범죄",소계,243082,42198,20985,8181,16256,4750,4913,5525,965,3767,209,1102,1358,593,830,1955,2048,365,3560,4192,4900,2031,3168,971,1612,973,424,963,3610,388,1716,904,1467,6315,700,838,2920,2653,267,460,420,1221,1112,195,389,3101,615,55,378,450,563,710,643,965,2477,3324,201,223,919,2387,361,666,373,1459,886,1988,834,770,1334,492,190,270,520,262,360,3730,1039,2151,374,2724,1213,1110,4813,1834,1198,3033,4379,23339
